index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2018-10-01,L14,3,2018,8.4,2.4,5.1,,0.394,0.217,31.0,586.0,54.0,299.7,3119.0,10906.0,,,,,,0.691,,,2.2,3.1,1.6,0.123,9602.0,0.545,0.436,0.349,0.0,0.0,0.1,0.0,1.4,267.0,0.082,0.042,562.0,11.7,-0.001,0.7,1.3,0.436,1.0,,,,,,,,,0.4,,-0.019,0.1,,2018-10-01
2018-07-01,L14,2,2018,7.3,2.0,5.1,,0.391,0.183,32.0,595.0,47.0,310.2,2777.0,9914.0,,,,,,0.621,,,1.6,2.3,1.0,0.165,9783.0,0.582,0.494,0.391,0.0,0.0,0.2,0.0,1.6,211.0,0.172,0.091,581.0,11.5,-0.567,0.7,1.3,0.494,1.0,,,,,,,,,0.6,,-0.287,0.758,,2018-07-01
2018-04-01,L14,1,2018,15.2,6.4,6.1,,0.51,0.179,39.0,572.0,42.0,38.7,2383.0,5640.0,,,,,,0.504,,,1.0,1.9,0.3,0.015,13722.0,0.518,0.438,0.342,0.1,0.0,0.3,,2.0,133.0,0.167,0.047,569.0,9.4,-0.001,0.8,1.3,0.438,1.0,,,,,,,,,1.0,,0.0,0.044,,2018-04-01
2018-01-01,L14,4,2017,10.8,4.7,9.4,,0.536,0.169,43.0,503.0,56.0,56.2,2348.0,5402.0,,,,,,0.484,,,0.9,1.8,0.3,0.135,13724.0,0.34,0.23,0.171,0.1,0.1,0.4,,2.1,129.0,0.083,0.015,491.0,8.4,-0.001,0.9,1.3,0.23,1.0,,,,,,,,,1.1,,0.151,0.098,,2018-01-01
2017-10-01,L14,3,2017,12.7,5.3,9.4,,0.52,0.137,37.0,603.0,45.0,38.8,2068.0,4922.0,,,,,,0.378,,,0.6,1.5,0.2,0.252,11924.0,0.399,0.273,0.213,0.2,0.1,0.4,,2.6,114.0,0.026,0.005,595.0,9.9,0.0,0.8,1.3,0.273,1.0,,,,,,,,,1.6,,-0.16,0.152,,2017-10-01
2017-07-01,L14,2,2017,10.2,4.0,10.9,,0.468,0.104,33.0,650.0,35.0,22.9,1652.0,4273.0,,,,,,0.295,,,0.4,1.4,0.1,0.214,14203.0,0.377,0.288,0.22,0.3,0.1,0.5,,3.4,97.0,0.065,0.012,648.0,11.1,0.009,0.7,1.2,0.288,1.0,,,,,,,,,2.4,,0.22,0.152,,2017-07-01
2017-04-01,L14,1,2017,9.5,3.5,10.1,,0.432,0.082,38.0,682.0,34.0,17.1,1360.0,3709.0,,,,,,0.24,,,0.3,1.2,0.1,0.355,11642.0,0.271,0.207,0.154,0.5,0.1,0.7,,4.2,75.0,0.045,0.01,685.0,9.7,0.0,0.6,1.3,0.207,0.9,,,,,,,,,3.2,,0.331,0.104,,2017-04-01
2017-01-01,L14,4,2016,10.3,3.1,9.7,,0.344,0.058,48.0,826.0,46.0,20.4,1004.0,3359.0,,,,,,0.202,,,0.3,1.2,0.1,0.096,8749.0,0.258,0.179,0.137,0.4,0.1,0.9,,4.9,65.0,0.029,0.008,827.0,7.7,0.0,0.5,1.2,0.179,1.0,,,,,,,,,3.9,,0.063,0.111,,2017-01-01
2016-10-01,L14,3,2016,10.4,3.2,7.2,,0.344,0.052,50.0,968.0,53.0,12.3,916.0,3025.0,,,,,,0.176,,,0.2,1.1,0.1,0.017,8231.0,0.201,0.145,0.107,0.4,0.1,1.1,,5.7,57.0,0.105,0.038,965.0,7.3,0.0,0.4,1.2,0.145,0.9,,,,,,,,,4.7,,-0.213,0.084,,2016-10-01
2016-07-01,L14,2,2016,14.0,4.5,6.7,,0.374,0.051,45.0,1141.0,60.0,24.3,901.0,2791.0,,,,,,0.161,,,0.2,1.1,0.1,0.184,10454.0,0.244,0.191,0.139,0.4,0.1,1.2,,6.2,50.0,0.125,0.047,1126.0,8.0,-0.011,0.4,1.3,0.191,0.9,,,,,,,,,5.2,,0.15,0.076,,2016-07-01
