index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2018-01-01,PVS,4,2017,10.9,0.8,3.2,,0.076,0.033,90.0,24.0,86.0,-23.5,1675.0,22437.0,,,,,,0.464,,,1.1,1.8,1.7,-0.055,1593.0,0.003,-0.035,0.021,0.1,0.0,1.9,0.3,2.2,5740.0,0.476,0.784,28.0,4.0,-0.111,0.7,0.8,-0.035,-0.5,,,,,,,,,0.9,,-0.124,0.012,,2018-01-01
2017-10-01,PVS,3,2017,7.1,0.6,10.6,,0.081,0.034,91.0,32.0,79.0,-12.2,1772.0,22180.0,,,,,,0.438,,,1.0,1.7,1.5,-0.016,1819.0,0.031,-0.034,0.035,0.1,0.1,1.8,0.3,2.3,5577.0,0.526,0.462,44.0,4.0,-0.082,0.6,1.1,-0.034,-1.2,,,,,,,,,1.0,,-0.152,0.003,,2017-10-01
2017-07-01,PVS,2,2017,7.0,0.6,2.0,,0.083,0.034,88.0,26.0,71.0,18.7,1801.0,22111.0,,,,,,0.427,,,0.9,1.6,1.5,-0.103,2145.0,0.093,0.045,0.072,0.1,0.1,1.6,0.3,2.3,5662.0,0.524,0.914,43.0,4.2,-0.086,0.7,1.4,0.045,2.3,,,,,,,,,1.1,,-0.027,-0.001,,2017-07-01
2017-04-01,PVS,1,2017,6.6,0.6,3.3,,0.091,0.038,93.0,23.0,75.0,13.5,2008.0,22130.0,,,,,,0.441,,,1.0,1.7,1.5,-0.027,2205.0,0.085,0.042,0.076,0.1,0.1,1.7,0.3,2.3,5513.0,0.459,0.753,41.0,3.9,-0.109,0.7,1.3,0.042,2.4,,,,,,,,,1.0,,0.015,0.03,,2017-04-01
2017-01-01,PVS,4,2016,6.0,0.6,3.7,,0.096,0.038,89.0,29.0,84.0,-12.8,2065.0,21486.0,,,,,,0.402,,,0.8,1.6,1.4,-0.066,2173.0,0.003,-0.033,0.036,0.1,0.1,2.0,0.4,2.5,5396.0,0.503,0.744,34.0,4.1,-0.101,0.7,1.4,-0.033,-1.5,,,,,,,,,1.2,,-0.221,-0.006,,2017-01-01
2016-10-01,PVS,3,2016,7.0,0.7,2.5,,0.105,0.039,109.0,24.0,92.0,-0.5,2210.0,21607.0,,,,,,0.4,,,0.8,1.6,1.4,-0.19,2790.0,0.041,-0.001,0.026,0.1,0.1,1.6,0.4,2.5,5652.0,0.54,0.813,42.0,3.3,-0.107,0.7,1.2,-0.001,-21.4,,,,,,,,,1.2,,-0.212,0.011,,2016-10-01
2016-07-01,PVS,2,2016,4.6,0.6,2.4,,0.133,0.049,92.0,16.0,80.0,12.2,2728.0,21380.0,,,,,,0.396,,,0.8,1.6,1.4,-0.098,3541.0,0.071,0.037,0.087,0.2,0.1,1.3,0.4,2.5,5469.0,0.578,0.778,29.0,4.0,-0.101,0.8,1.3,0.037,3.1,,,,,,,,,1.2,,-0.206,-0.03,,2016-07-01
2016-04-01,PVS,1,2016,3.5,0.5,1.0,,0.134,0.056,80.0,14.0,70.0,5.5,3024.0,22039.0,,,,,,0.406,,,0.9,1.6,1.5,-0.03,4458.0,0.052,0.02,0.064,0.2,0.1,1.1,0.4,2.5,6019.0,0.573,1.023,24.0,4.6,-0.159,0.9,1.1,0.02,3.5,,,,,,,,,1.1,,-0.056,0.03,,2016-04-01
2016-01-01,PVS,4,2015,3.7,0.5,0.9,,0.153,0.057,77.0,18.0,80.0,7.2,3119.0,21392.0,,,,,,0.386,,,0.8,1.6,1.5,-0.191,4720.0,0.114,0.03,0.06,0.2,0.1,1.1,0.5,2.6,5864.0,0.685,1.075,15.0,4.7,-0.156,0.9,1.2,0.03,2.5,,,,,,,,,1.2,,-0.177,0.041,,2016-01-01
2015-10-01,PVS,3,2015,3.7,0.7,0.1,,0.199,0.067,82.0,12.0,74.0,16.8,3855.0,20555.0,,,,,,0.353,,,0.7,1.5,1.5,0.002,5737.0,0.081,0.043,0.055,0.2,0.1,1.0,0.4,2.8,6159.0,0.743,1.32,19.0,4.5,-0.151,1.0,1.5,0.043,1.9,,,,,,,,,1.4,,0.024,0.039,,2015-10-01
2015-07-01,PVS,2,2015,4.6,0.9,1.3,,0.207,0.069,67.0,8.0,63.0,31.0,3847.0,19792.0,,,,,,0.346,,,0.7,1.5,1.4,0.009,5601.0,0.103,0.076,0.073,0.2,0.1,1.1,0.4,2.9,5359.0,0.806,0.909,13.0,5.4,-0.149,1.1,1.4,0.076,1.3,,,,,,,,,1.5,,-0.019,-0.143,,2015-07-01
2015-04-01,PVS,1,2015,3.9,0.6,2.3,,0.186,0.073,66.0,9.0,52.0,10.6,3812.0,23092.0,,,,,,0.426,,,0.7,1.4,1.3,0.035,5712.0,0.071,0.039,0.066,0.2,0.1,1.1,0.5,2.3,4402.0,0.732,0.701,23.0,5.5,-0.076,1.2,1.1,0.039,1.9,,,,,,,,,1.3,,-0.011,0.403,,2015-04-01
2015-01-01,PVS,4,2014,,,2.7,,0.201,0.07,66.0,10.0,54.0,25.1,3682.0,16459.0,,,,,,0.3,,,0.6,1.3,1.3,0.061,5775.0,0.093,0.062,0.07,0.3,0.1,1.2,0.4,3.3,4302.0,0.887,0.659,22.0,5.5,-0.071,1.3,1.2,0.062,1.4,,,,,,,,,1.7,,-0.059,0.083,,2015-01-01
2014-10-01,PVS,3,2014,,,5.4,,0.203,0.063,82.0,9.0,66.0,10.6,3472.0,15196.0,,,,,,0.27,,,0.5,1.3,1.2,-0.064,6140.0,0.045,0.025,0.039,0.3,0.1,1.1,0.4,3.7,3827.0,0.947,0.426,24.0,4.5,-0.056,1.1,1.2,0.025,1.9,,,,,,,,,1.9,,-0.099,0.062,,2014-10-01
2014-07-01,PVS,2,2014,,,4.1,,0.229,0.07,76.0,10.0,60.0,24.1,3710.0,14307.0,,,,,,0.261,,,0.5,1.3,1.2,0.167,6812.0,0.105,0.08,0.069,0.4,0.1,1.1,0.5,3.8,3690.0,0.907,0.502,26.0,4.8,-0.068,1.1,1.5,0.08,1.3,,,,,,,,,2.0,,0.123,-0.041,,2014-07-01
2014-04-01,PVS,1,2014,,,3.7,,0.192,0.066,64.0,10.0,45.0,8.2,3180.0,14925.0,,,,,,0.295,,,0.6,1.4,1.3,0.003,6064.0,0.066,0.039,0.047,0.4,0.1,1.4,0.5,3.4,4054.0,0.69,0.479,28.0,5.7,-0.055,1.1,1.2,0.039,1.5,,,,,,,,,1.7,,-0.211,0.05,,2014-04-01
2014-01-01,PVS,4,2013,,,3.1,,0.21,0.068,65.0,10.0,52.0,21.4,3172.0,14211.0,,,,,,0.285,,,0.6,1.4,1.3,0.235,7691.0,0.151,0.113,0.081,0.4,0.1,1.4,0.4,3.5,3955.0,0.713,0.484,24.0,5.6,-0.055,1.1,1.5,0.113,1.1,,,,,,,,,1.7,,0.304,0.122,,2014-01-01
2013-10-01,PVS,3,2013,,,2.1,,0.18,0.051,69.0,14.0,61.0,15.9,2567.0,12664.0,,,,,,0.236,,,0.5,1.2,1.2,0.119,5896.0,0.093,0.07,0.063,0.5,0.1,1.9,0.3,4.2,2627.0,0.899,0.978,22.0,5.3,-0.074,1.1,1.4,0.07,1.2,,,,,,,,,2.1,,0.004,0.083,,2013-10-01
2013-07-01,PVS,2,2013,,,2.3,,0.171,0.047,74.0,15.0,55.0,7.1,2295.0,11691.0,,,,,,0.231,,,0.5,1.2,1.1,-0.065,5871.0,0.072,0.041,0.041,0.5,0.2,2.0,0.4,4.3,2275.0,0.872,0.856,34.0,4.9,-0.058,1.1,1.5,0.041,1.5,,,,,,,,,2.2,,-0.091,-0.02,,2013-07-01
2013-04-01,PVS,1,2013,,,2.0,,0.174,0.05,65.0,15.0,44.0,8.6,2453.0,11929.0,,,,,,0.259,,,0.6,1.3,1.3,0.024,6457.0,0.109,0.077,0.055,0.6,0.2,2.3,0.4,3.9,2938.0,0.916,1.108,36.0,5.6,-0.064,1.0,1.6,0.077,1.1,,,,,,,,,1.8,,-0.162,0.238,,2013-04-01
2013-01-01,PVS,4,2012,,,2.1,,0.191,0.053,58.0,13.0,45.0,-1.4,2395.0,9634.0,,,,,,0.223,,,0.5,1.4,1.3,-0.232,7706.0,0.022,-0.01,0.032,0.7,0.2,2.3,0.3,4.5,2981.0,0.934,0.873,25.0,6.3,-0.069,1.1,2.1,-0.01,-6.4,,,,,,,,,2.1,,-0.17,0.045,,2013-01-01
2012-10-01,PVS,3,2012,,,1.3,,0.268,0.066,54.0,17.0,56.0,8.7,3116.0,9219.0,,,,,,0.196,,,0.4,1.3,1.2,0.053,9284.0,0.093,0.064,0.052,0.8,0.2,2.0,0.3,5.1,2777.0,1.09,1.411,14.0,6.8,-0.073,1.1,1.4,0.064,1.1,,,,,,,,,2.5,,0.091,0.059,,2012-10-01
2012-07-01,PVS,2,2012,,,2.1,,0.267,0.062,66.0,17.0,60.0,6.2,2960.0,8709.0,,,,,,0.182,,,0.4,1.2,1.1,0.011,8509.0,0.093,0.067,0.058,0.9,0.2,2.3,0.3,5.5,2375.0,1.021,1.232,23.0,5.6,-0.076,1.1,1.3,0.067,1.1,,,,,,,,,2.7,,0.03,-0.096,,2012-07-01
2012-04-01,PVS,1,2012,,,2.1,,0.261,0.065,61.0,13.0,44.0,3.9,2928.0,9634.0,,,,,,0.185,,,0.4,1.2,1.1,0.12,8260.0,0.067,0.038,0.044,1.1,0.3,2.5,0.6,5.4,2511.0,1.004,1.153,31.0,5.9,-0.109,1.2,1.5,0.038,1.7,,,,,,,,,2.8,,-0.085,-0.04,,2012-04-01
2012-01-01,PVS,4,2011,,,2.7,,0.258,0.063,58.0,12.0,41.0,3.9,2614.0,10040.0,,,,,,0.212,,,0.4,1.2,1.1,0.261,9028.0,0.092,0.047,0.08,1.0,0.3,2.6,0.8,4.7,2336.0,1.057,1.459,29.0,6.3,-0.154,1.2,1.5,0.047,2.6,,,,,,,,,2.8,,0.254,0.154,,2012-01-01
2011-10-01,PVS,3,2011,,,3.5,,0.23,0.051,56.0,13.0,61.0,5.8,2073.0,8702.0,,,,,,0.183,,,0.3,1.0,0.9,0.075,7197.0,0.078,0.054,0.043,1.3,0.3,3.4,0.8,5.5,-183.0,0.895,1.013,9.0,6.5,-0.096,1.1,1.3,0.054,1.1,,,,,,,,,3.3,,-0.066,0.014,,2011-10-01
