index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2016-10-01,KDC,3,2016,6.2,1.2,-411.1,,0.19,0.149,47.0,42.0,42.0,-8.9,4898.0,25674.0,,,,,,0.823,,,5.1,4.7,4.5,2.373,-76.0,0.485,-0.223,1.872,0.1,0.1,-12.9,1.5,1.2,3496.0,0.02,0.015,48.0,7.8,-0.373,0.3,1.3,-0.223,-10.9,,,,,,,,,0.2,,-1.775,0.129,,2016-10-01
2016-07-01,KDC,2,2016,15.0,1.0,333.5,,0.042,0.033,48.0,37.0,36.0,8.4,1452.0,22733.0,,,,,,0.823,,,5.2,4.0,3.8,-0.937,98.0,0.578,0.103,0.193,0.1,0.1,34.6,3.4,1.2,2531.0,0.017,0.011,49.0,7.7,-0.627,0.2,1.2,0.103,2.3,,,,,,,,,0.2,,-0.102,-0.017,,2016-07-01
2016-04-01,KDC,1,2016,0.8,0.8,163.5,,0.942,0.769,36.0,48.0,40.0,-12.4,22957.0,23123.0,,,,,,0.833,,,5.6,4.3,4.2,0.0,110.0,0.407,-0.043,0.07,0.1,0.1,18.2,3.0,1.2,2813.0,0.064,0.068,44.0,10.0,-0.151,0.4,1.1,-0.043,-1.8,,,,,,,,,0.2,,-0.758,0.005,,2016-04-01
2016-01-01,KDC,4,2015,0.8,0.8,35.3,,0.917,0.717,25.0,40.0,49.0,-18.6,22967.0,23019.0,,,,,,0.778,,,3.8,3.1,3.0,0.003,453.0,0.311,-0.038,0.251,0.0,0.0,3.0,3.2,1.3,2850.0,0.215,0.226,15.0,14.8,-0.138,0.4,0.6,-0.038,-4.0,,,,,,,,,0.3,,-0.499,-0.115,,2016-01-01
2015-10-01,KDC,3,2015,0.8,0.7,1.3,,0.823,0.653,14.0,29.0,30.0,-12.7,22888.0,26010.0,,,,,,0.749,,,3.2,2.9,2.9,-0.051,904.0,0.397,-0.069,0.155,0.0,0.0,0.8,1.4,1.3,3593.0,0.715,0.943,12.0,26.4,-0.531,0.5,1.2,-0.069,-2.6,,,,,,,,,0.3,,-0.691,-0.438,,2015-10-01
2015-07-01,KDC,2,2015,0.8,0.4,7.1,,0.641,0.509,7.0,27.0,25.0,-1.2,24106.0,46268.0,,,,,,0.769,,,3.5,3.7,3.7,9.158,2924.0,0.387,-0.012,4.346,0.1,0.1,1.2,156.8,1.3,8319.0,0.165,0.319,10.0,49.0,-0.489,0.5,1.3,-0.012,-454.3,,,,,,,,,0.3,,-0.141,0.836,,2015-07-01
2015-04-01,KDC,1,2015,8.1,0.8,14.7,,0.101,0.08,9.0,34.0,23.0,4.1,2373.0,25197.0,,,,,,0.79,,,4.4,3.0,2.8,-0.006,3405.0,0.39,0.026,0.029,0.1,0.1,0.8,91.3,1.3,2526.0,0.294,0.149,20.0,39.4,-0.302,0.8,1.6,0.026,1.8,,,,,,,,,0.2,,-0.009,-0.054,,2015-04-01
2015-01-01,KDC,4,2014,,,10.1,,0.098,0.076,14.0,41.0,36.0,-45.9,2386.0,26628.0,,,,,,0.772,,,3.9,2.8,2.6,-0.004,3434.0,0.4,0.026,0.071,0.1,0.1,0.8,42.3,1.3,2802.0,0.398,0.267,19.0,26.9,-0.277,0.7,1.3,0.026,3.6,,,,,,,,,0.3,,-0.186,-0.101,,2015-01-01
2014-10-01,KDC,3,2014,,,16.0,,0.095,0.075,12.0,40.0,33.0,60.5,2395.0,29621.0,,,,,,0.836,,,5.1,3.5,3.3,0.057,4221.0,0.492,0.2,0.192,0.0,0.0,0.6,13.1,1.2,3124.0,0.401,0.179,20.0,29.5,-0.036,0.7,1.1,0.2,1.1,,,,,,,,,0.2,,0.021,0.022,,2014-10-01
2014-07-01,KDC,2,2014,,,13.8,,0.092,0.074,10.0,47.0,33.0,7.1,2265.0,28975.0,,,,,,0.838,,,5.2,3.7,3.3,0.034,4134.0,0.419,0.057,0.061,0.1,0.1,0.8,4.1,1.2,3014.0,0.425,0.222,24.0,36.6,-0.04,0.7,1.4,0.057,1.5,,,,,,,,,0.2,,-0.161,0.348,,2014-07-01
