index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2017-07-01,VHC,2,2017,10.1,1.8,8.3,,0.194,0.09,57.0,70.0,11.0,9.6,2589.0,14445.0,,,,,,0.494,,,1.0,1.5,0.9,-0.145,8368.0,0.127,0.079,0.062,0.8,0.4,2.8,3.4,2.0,1104.0,0.025,0.015,116.0,6.4,-0.406,1.5,1.2,0.079,0.9,,,,,,,,,1.0,,-0.085,0.058,,2017-07-01
2017-04-01,VHC,1,2017,7.9,1.8,7.9,,0.236,0.113,45.0,81.0,13.0,9.1,3027.0,13651.0,,,,,,0.506,,,1.0,1.5,0.7,-0.007,9140.0,0.142,0.081,0.06,0.8,0.4,2.4,2.7,2.0,999.0,0.153,0.075,113.0,8.1,-0.426,1.5,1.2,0.081,0.9,,,,,,,,,1.0,,0.016,0.045,,2017-04-01
2017-01-01,VHC,4,2016,8.4,2.0,7.3,,0.249,0.126,49.0,73.0,14.0,7.9,3049.0,13066.0,,,,,,0.534,,,1.2,1.8,1.0,0.051,9000.0,0.121,0.064,0.056,0.6,0.3,1.9,1.7,1.9,1234.0,0.069,0.034,108.0,7.5,-0.341,1.7,1.3,0.064,1.2,,,,,,,,,0.9,,0.028,0.002,,2017-01-01
2016-10-01,VHC,3,2016,8.8,2.0,8.5,,0.241,0.111,44.0,76.0,12.0,9.4,2902.0,13039.0,,,,,,0.497,,,1.0,1.7,1.0,0.158,8752.0,0.135,0.087,0.07,0.7,0.4,2.5,2.5,2.0,1262.0,0.024,0.011,107.0,8.4,-0.254,1.6,1.2,0.087,1.0,,,,,,,,,1.0,,0.096,0.059,,2016-10-01
2016-07-01,VHC,2,2016,7.9,1.6,9.4,,0.218,0.091,54.0,82.0,10.0,9.9,2507.0,12316.0,,,,,,0.437,,,0.8,1.5,1.0,0.421,7987.0,0.177,0.127,0.108,1.0,0.4,3.1,3.4,2.3,1146.0,0.167,0.074,126.0,6.8,-0.224,1.4,1.1,0.127,1.0,,,,,,,,,1.3,,0.246,0.029,,2016-07-01
2016-04-01,VHC,1,2016,6.5,1.0,6.3,,0.155,0.068,57.0,77.0,16.0,14.7,1763.0,11964.0,,,,,,0.451,,,0.8,1.5,0.9,-0.005,6408.0,0.149,0.09,0.063,1.0,0.4,3.6,3.3,2.2,1068.0,0.26,0.225,119.0,6.3,-0.227,1.4,1.3,0.09,0.9,,,,,,,,,1.2,,0.054,0.048,,2016-04-01
2016-01-01,VHC,4,2015,6.9,1.1,7.4,,0.164,0.072,47.0,87.0,15.0,5.0,1772.0,11415.0,,,,,,0.475,,,0.9,1.6,0.9,0.1,6078.0,0.107,0.056,0.038,0.8,0.4,3.4,3.0,2.1,1018.0,0.142,0.111,119.0,7.8,-0.171,1.5,1.2,0.056,0.8,,,,,,,,,1.1,,-0.103,0.035,,2016-01-01
2015-10-01,VHC,3,2015,9.4,1.4,9.4,,0.156,0.067,43.0,84.0,12.0,9.5,1611.0,11027.0,,,,,,0.426,,,0.7,1.4,0.8,-0.422,6773.0,0.128,0.067,0.041,1.1,0.5,3.7,6.0,2.3,978.0,0.038,0.028,115.0,8.4,-0.239,1.5,1.3,0.067,0.8,,,,,,,,,1.3,,-0.145,0.031,,2015-10-01
2015-07-01,VHC,2,2015,5.6,1.5,9.4,,0.297,0.125,39.0,80.0,9.0,-30.9,2787.0,10696.0,,,,,,0.398,,,0.7,1.3,0.8,0.055,7917.0,0.132,0.075,0.052,1.2,0.5,3.0,8.1,2.5,892.0,0.018,0.011,110.0,9.4,-0.381,1.7,1.2,0.075,0.8,,,,,,,,,1.5,,0.083,-0.004,,2015-07-01
2015-04-01,VHC,1,2015,5.8,1.4,10.0,,0.277,0.133,37.0,71.0,10.0,8.9,2641.0,10743.0,,,,,,0.427,,,0.8,1.3,0.8,0.153,7307.0,0.125,0.069,0.068,1.1,0.5,2.5,33.0,2.3,697.0,0.02,0.011,98.0,9.8,-0.374,1.8,1.2,0.069,1.2,,,,,,,,,1.3,,0.104,0.063,,2015-04-01
