index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2020-01-01,SLS,4,2019,5.8,0.7,10.8,,0.129,0.056,49.0,65.0,36.0,2.8,6366.0,49767.0,,,,,,0.431,,,0.8,1.0,0.6,0.122,9939.0,0.117,0.096,0.067,1.0,0.4,5.0,1.8,2.3,-12.0,0.021,0.021,78.0,7.4,-0.004,0.8,1.0,0.096,0.7,,,,,,,,,1.3,,0.086,-0.053,,2020-01-01
2019-10-01,SLS,3,2019,5.7,0.6,11.1,,0.11,0.047,27.0,147.0,19.0,1.9,5671.0,52534.0,,,,,,0.443,,,0.8,1.1,0.4,-0.122,9148.0,0.167,0.146,0.087,1.1,0.5,6.6,1.8,2.3,58.0,0.013,0.016,156.0,13.3,-0.058,0.7,1.0,0.146,0.6,,,,,,,,,1.3,,-0.098,0.021,,2019-10-01
2019-07-01,SLS,2,2019,4.5,0.6,10.3,,0.129,0.047,47.0,209.0,107.0,2.5,6458.0,51476.0,,,,,,0.387,,,0.6,1.1,0.3,0.112,10143.0,0.112,0.099,0.072,1.1,0.4,5.9,1.6,2.6,42.0,0.007,0.008,150.0,7.7,-0.061,0.6,1.0,0.099,0.7,,,,,,,,,1.6,,0.053,0.045,,2019-07-01
2019-04-01,SLS,1,2019,7.2,0.9,10.0,,0.12,0.044,56.0,234.0,98.0,1.2,5809.0,49263.0,,,,,,0.376,,,0.6,1.1,0.4,-0.398,9636.0,0.146,0.102,0.041,1.2,0.4,6.3,1.4,2.7,63.0,0.005,0.006,193.0,6.5,-0.039,0.6,1.0,0.102,0.4,,,,,,,,,1.7,,-0.466,0.011,,2019-04-01
2019-01-01,SLS,4,2018,4.0,0.8,6.4,,0.211,0.089,46.0,67.0,28.0,2.0,9656.0,48727.0,,,,,,0.439,,,0.8,1.1,0.8,-0.116,18030.0,0.12,0.095,0.06,1.0,0.5,3.0,1.1,2.3,48.0,0.037,0.042,85.0,7.9,-0.169,0.8,1.0,0.095,0.6,,,,,,,,,1.3,,-0.029,-0.045,,2019-01-01
2018-10-01,SLS,3,2018,4.3,0.9,6.4,,0.24,0.098,63.0,154.0,7.0,2.6,10922.0,51006.0,,,,,,0.418,,,0.7,1.3,0.6,-0.077,18562.0,0.183,0.166,0.108,1.2,0.5,3.3,1.4,2.4,129.0,0.015,0.016,210.0,5.8,-0.47,0.6,1.0,0.166,0.6,,,,,,,,,1.4,,-0.001,0.044,,2018-10-01
2018-07-01,SLS,2,2018,4.9,1.2,5.8,,0.258,0.1,90.0,267.0,70.0,2.1,11839.0,48835.0,,,,,,0.34,,,0.5,1.2,0.5,-0.166,18581.0,0.221,0.172,0.106,1.3,0.4,3.1,1.4,2.9,109.0,0.001,0.001,287.0,4.1,-0.476,0.5,1.0,0.172,0.6,,,,,,,,,1.9,,-0.091,0.033,,2018-07-01
2018-04-01,SLS,1,2018,4.3,1.3,6.9,,0.329,0.133,84.0,239.0,77.0,5.0,14194.0,47270.0,,,,,,0.355,,,0.6,1.3,0.6,-0.266,20437.0,0.266,0.226,0.203,1.4,0.5,2.5,1.0,2.8,166.0,0.004,0.003,246.0,4.3,-1.055,0.6,1.0,0.226,0.9,,,,,,,,,1.8,,-0.162,0.102,,2018-04-01
2018-01-01,SLS,4,2017,5.5,2.5,5.5,,0.534,0.238,40.0,65.0,33.0,4.0,19326.0,42888.0,,,,,,0.401,,,0.7,1.6,1.3,0.099,24393.0,0.327,0.268,0.259,1.1,0.5,1.6,0.8,2.5,221.0,0.014,0.009,71.0,9.2,-0.934,0.9,1.0,0.268,1.0,,,,,,,,,1.5,,0.003,0.069,,2018-01-01
2017-10-01,SLS,3,2017,6.0,2.6,10.5,,0.504,0.24,47.0,74.0,8.0,4.5,17583.0,40102.0,,,,,,0.396,,,0.7,1.8,1.4,0.056,24331.0,0.25,0.233,0.217,1.2,0.5,1.6,0.9,2.5,270.0,0.025,0.007,114.0,7.7,-0.469,0.9,1.0,0.233,0.9,,,,,,,,,1.5,,0.058,-0.066,,2017-10-01
