index,ticker,quarter,year,priceToEarning,priceToBook,valueBeforeEbitda,dividend,roe,roa,daysReceivable,daysInventory,daysPayable,ebitOnInterest,earningPerShare,bookValuePerShare,interestMargin,nonInterestOnToi,badDebtPercentage,provisionOnBadDebt,costOfFinancing,equityOnTotalAsset,equityOnLoan,costToIncome,equityOnLiability,currentPayment,quickPayment,epsChange,ebitdaOnStock,grossProfitMargin,operatingProfitMargin,postTaxMargin,debtOnEquity,debtOnAsset,debtOnEbitda,shortOnLongDebt,assetOnEquity,capitalBalance,cashOnEquity,cashOnCapitalize,cashCirculation,revenueOnWorkCapital,capexOnFixedAsset,revenueOnAsset,postTaxOnPreTax,ebitOnRevenue,preTaxOnEbit,preProvisionOnToi,postTaxOnToi,loanOnEarnAsset,loanOnAsset,loanOnDeposit,depositOnEarnAsset,badDebtOnAsset,liquidityOnLiability,payableOnEquity,cancelDebt,ebitdaOnStockChange,bookValuePerShareChange,creditGrowth,date
2020-01-01,VIC,4,2019,51.8,5.1,22.6,,0.116,0.022,35.0,268.0,48.0,0.0,1972.0,20085.0,,,,,,0.187,,,0.4,1.1,0.6,0.411,5804.0,0.232,-0.002,0.121,1.1,0.3,5.6,0.3,5.3,17878.0,0.153,0.059,255.0,10.3,-0.775,0.4,1.4,-0.002,-83.7,,,,,,,,,2.4,,-0.033,-0.006,,2020-01-01
2019-10-01,VIC,3,2019,76.2,5.3,25.7,,0.082,0.017,23.0,238.0,41.0,2.0,1397.0,20213.0,,,,,,0.215,,,0.5,1.1,0.6,-0.021,6003.0,0.357,0.141,0.016,0.9,0.3,4.4,0.5,4.6,15098.0,0.132,0.043,220.0,16.0,-0.879,0.4,5.1,0.141,0.6,,,,,,,,,1.8,,0.118,-0.044,,2019-10-01
2019-07-01,VIC,2,2019,72.0,4.9,31.6,,0.089,0.019,25.0,209.0,50.0,4.4,1428.0,21148.0,,,,,,0.238,,,0.6,1.3,0.9,0.28,5370.0,0.326,0.162,0.035,0.8,0.3,4.8,0.3,4.2,37948.0,0.187,0.059,184.0,14.4,-0.812,0.4,3.6,0.162,0.8,,,,,,,,,1.7,,0.171,0.464,,2019-07-01
2019-04-01,VIC,1,2019,92.3,7.1,40.0,,0.096,0.016,31.0,219.0,56.0,0.0,1115.0,14442.0,,,,,,0.175,,,0.5,1.2,0.8,0.029,4585.0,0.219,-0.001,0.048,1.0,0.3,5.8,0.3,5.7,29968.0,0.073,0.018,194.0,11.6,-1.151,0.4,1.9,-0.001,-65.1,,,,,,,,,2.1,,-0.174,0.031,,2019-04-01
2019-01-01,VIC,4,2018,78.1,6.0,28.2,,0.098,0.016,19.0,200.0,45.0,2.8,1084.0,14014.0,,,,,,0.184,,,0.5,1.2,0.7,0.073,5549.0,0.204,0.063,0.064,0.9,0.3,4.3,0.3,5.4,21790.0,0.137,0.037,175.0,19.0,-1.024,0.5,2.3,0.063,2.3,,,,,,,,,1.9,,-0.099,0.023,,2019-01-01
2018-10-01,VIC,3,2018,86.4,6.4,23.7,,0.096,0.016,23.0,205.0,44.0,1.4,1010.0,13692.0,,,,,,0.194,,,0.6,1.2,0.8,0.061,6161.0,0.279,0.065,0.026,0.7,0.3,3.2,0.3,5.1,18860.0,0.162,0.048,183.0,15.9,-1.153,0.5,4.3,0.065,1.7,,,,,,,,,1.7,,-0.142,0.246,,2018-10-01
2018-07-01,VIC,2,2018,100.3,8.7,26.6,,0.105,0.016,17.0,230.0,35.0,4.3,952.0,10991.0,,,,,,0.168,,,0.5,1.0,0.5,-0.153,7179.0,0.251,0.14,0.005,0.6,0.2,2.6,0.3,6.0,4150.0,0.153,0.038,211.0,22.1,-0.946,0.5,20.4,0.14,0.8,,,,,,,,,1.9,,0.117,0.26,,2018-07-01
2018-04-01,VIC,1,2018,76.5,9.9,22.8,,0.144,0.021,17.0,247.0,39.0,3.2,1125.0,8725.0,,,,,,0.148,,,0.4,0.8,0.4,0.008,6425.0,0.239,0.112,0.032,0.9,0.2,2.9,0.8,6.7,-28103.0,0.127,0.022,225.0,21.1,-0.961,0.5,2.9,0.112,0.8,,,,,,,,,2.8,,0.102,0.064,,2018-04-01
2018-01-01,VIC,4,2017,50.9,6.9,24.2,,0.147,0.022,18.0,234.0,38.0,8.4,1116.0,8203.0,,,,,,0.145,,,0.3,0.8,0.4,1.186,5832.0,0.276,0.14,0.064,0.9,0.2,2.9,0.6,6.9,-24368.0,0.165,0.026,215.0,19.9,-0.726,0.5,1.9,0.14,0.9,,,,,,,,,3.1,,0.24,0.129,,2018-01-01
2017-10-01,VIC,3,2017,73.7,5.2,21.2,,0.072,0.01,25.0,296.0,37.0,2.1,510.0,7266.0,,,,,,0.135,,,0.3,0.9,0.4,0.126,4703.0,0.319,0.11,0.018,0.9,0.2,3.7,0.3,7.4,-13817.0,0.14,0.031,285.0,14.5,-0.601,0.4,4.5,0.11,0.7,,,,,,,,,3.1,,0.038,0.027,,2017-10-01
