index,ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda,date,start_date
2011-04-01,SHS,1,2011,39.0,0.19,-0.751,-78.0,-39.0,,,,,,-48.0,-48.0,-48.0,,,,,,,,,2011-04-01,2011-01-01
2011-01-01,SHS,4,2010,156.0,0.78,1.934,-179.0,-23.0,,,,,,-38.0,-26.0,-26.0,,,,,,,,,2011-01-01,2010-10-01
2010-10-01,SHS,3,2010,53.0,0.194,-0.441,-43.0,10.0,,,,,,2.0,2.0,2.0,-0.916,-0.959,,,,,,,2010-10-01,2010-07-01
2010-07-01,SHS,2,2010,95.0,0.86,1.907,-23.0,73.0,-7.0,66.0,,,0.0,66.0,50.0,50.0,0.53,2.28,,,,,,,2010-07-01,2010-04-01
2010-04-01,SHS,1,2010,33.0,1.752,-0.627,-7.0,26.0,,,,,,20.0,15.0,15.0,3.995,-0.389,,,,,,,2010-04-01,2010-01-01
2010-01-01,SHS,4,2009,88.0,1.677,0.969,-47.0,41.0,,,,,,30.0,25.0,25.0,0.795,0.037,,,,,,,2010-01-01,2009-10-01
2009-10-01,SHS,3,2009,45.0,,-0.129,-8.0,36.0,-8.0,29.0,,,0.0,29.0,24.0,24.0,,-0.264,,,,,,,2009-10-01,2009-07-01
2009-07-01,SHS,2,2009,51.0,,3.301,-8.0,43.0,,,,,,39.0,33.0,33.0,,9.708,,,,,,,2009-07-01,2009-04-01
2009-04-01,SHS,1,2009,12.0,,-0.637,-3.0,9.0,,,,,,4.0,3.0,3.0,,-0.78,,,,,,,2009-04-01,2009-01-01
2009-01-01,SHS,4,2008,33.0,,,-14.0,18.0,,,,,,11.0,14.0,14.0,,,,,,,,,2009-01-01,2008-10-01
