index,ticker,quarter,year,revenue,yearRevenueGrowth,quarterRevenueGrowth,costOfGoodSold,grossProfit,operationExpense,operationProfit,yearOperationProfitGrowth,quarterOperationProfitGrowth,interestExpense,preTaxProfit,postTaxProfit,shareHolderIncome,yearShareHolderIncomeGrowth,quarterShareHolderIncomeGrowth,investProfit,serviceProfit,otherProfit,provisionExpense,operationIncome,ebitda,date,start_date
2015-01-01,SSI,4,2014,278.0,0.36,-0.335,-248.0,30.0,,,,,,115.0,100.0,101.0,0.491,-0.463,,,,,,,2015-01-01,2014-10-01
2014-10-01,SSI,3,2014,418.0,1.359,-0.152,-196.0,222.0,,,,,,234.0,188.0,188.0,0.994,-0.331,,,,,,,2014-10-01,2014-07-01
2014-07-01,SSI,2,2014,493.0,1.759,0.311,-150.0,343.0,,,,,,349.0,281.0,281.0,1.933,0.603,,,,,,,2014-07-01,2014-04-01
2014-04-01,SSI,1,2014,376.0,1.254,0.838,-96.0,279.0,,,,,,230.0,175.0,175.0,0.092,1.593,,,,,,,2014-04-01,2014-01-01
2014-01-01,SSI,4,2013,204.0,-0.251,0.154,-125.0,79.0,,,,,,89.0,67.0,68.0,-0.589,-0.283,,,,,,,2014-01-01,2013-10-01
2013-10-01,SSI,3,2013,177.0,-0.022,-0.008,-86.0,91.0,,,,,,119.0,94.0,94.0,1.079,-0.016,,,,,,,2013-10-01,2013-07-01
2013-07-01,SSI,2,2013,179.0,-0.226,0.071,-111.0,68.0,,,,,,111.0,96.0,96.0,0.38,-0.403,,,,,,,2013-07-01,2013-04-01
2013-04-01,SSI,1,2013,167.0,0.014,-0.389,-64.0,102.0,,,,,,188.0,160.0,160.0,-0.133,-0.024,,,,,,,2013-04-01,2013-01-01
2013-01-01,SSI,4,2012,273.0,0.686,0.507,-121.0,152.0,,,,,,165.0,164.0,165.0,0.704,2.631,,,,,,,2013-01-01,2012-10-01
2012-10-01,SSI,3,2012,181.0,-0.133,-0.215,-130.0,51.0,,,,,,60.0,47.0,45.0,-0.455,-0.347,,,,,,,2012-10-01,2012-07-01
2012-07-01,SSI,2,2012,231.0,-0.058,0.404,-202.0,28.0,,,,,,58.0,69.0,69.0,48.626,-0.625,,,,,,,2012-07-01,2012-04-01
2012-04-01,SSI,1,2012,164.0,-0.292,0.016,-1.0,163.0,,,,,,205.0,185.0,185.0,,0.918,,,,,,,2012-04-01,2012-01-01
2012-01-01,SSI,4,2011,162.0,-0.497,-0.225,-44.0,118.0,,,,,,124.0,96.0,97.0,-0.188,0.161,,,,,,,2012-01-01,2011-10-01
2011-10-01,SSI,3,2011,209.0,-0.403,-0.147,-117.0,92.0,,,,,,91.0,84.0,83.0,-0.426,58.471,,,,,,,2011-10-01,2011-07-01
2011-07-01,SSI,2,2011,245.0,-0.357,0.056,-219.0,26.0,,,,,,11.0,5.0,1.0,-0.991,,,,,,,,2011-07-01,2011-04-01
2011-04-01,SSI,1,2011,232.0,-0.484,-0.279,-277.0,-45.0,,,,,,-99.0,-102.0,-102.0,,,,,,,,,2011-04-01,2011-01-01
2011-01-01,SSI,4,2010,322.0,-0.303,-0.08,-204.0,118.0,,,,,,149.0,118.0,119.0,-0.556,-0.179,,,,,,,2011-01-01,2010-10-01
2010-10-01,SSI,3,2010,350.0,-0.016,-0.082,-126.0,224.0,,,,,,194.0,146.0,145.0,-0.519,-0.053,,,,,,,2010-10-01,2010-07-01
2010-07-01,SSI,2,2010,381.0,0.917,-0.153,-174.0,208.0,-2.0,206.0,,,0.0,199.0,153.0,153.0,-0.254,-0.435,,,,,,,2010-07-01,2010-04-01
2010-04-01,SSI,1,2010,450.0,3.29,-0.026,-89.0,361.0,,,,,,360.0,271.0,271.0,7.941,0.01,,,,,,,2010-04-01,2010-01-01
2010-01-01,SSI,4,2009,462.0,0.716,0.3,-177.0,286.0,,,,,,307.0,268.0,268.0,13.056,-0.11,,,,,,,2010-01-01,2009-10-01
2009-10-01,SSI,3,2009,356.0,-0.148,0.787,-22.0,333.0,,,,,,367.0,301.0,301.0,0.154,0.468,,,,,,,2009-10-01,2009-07-01
2009-07-01,SSI,2,2009,199.0,-0.207,0.896,22.0,221.0,,,,,,246.0,205.0,205.0,,5.77,,,,,,,2009-07-01,2009-04-01
2009-04-01,SSI,1,2009,105.0,-0.728,-0.611,-56.0,49.0,,,,,,36.0,30.0,30.0,-0.735,0.588,,,,,,,2009-04-01,2009-01-01
2009-01-01,SSI,4,2008,269.0,0.119,-0.355,-226.0,43.0,,,,,,21.0,19.0,19.0,-0.822,-0.927,,,,,,,2009-01-01,2008-10-01
2008-10-01,SSI,3,2008,417.0,1.443,0.663,-170.0,247.0,,,,,,282.0,261.0,261.0,2.145,,,,,,,,2008-10-01,2008-07-01
2008-07-01,SSI,2,2008,251.0,-0.17,-0.349,-353.0,-102.0,,,,,,-150.0,-142.0,-142.0,,,,,,,,,2008-07-01,2008-04-01
2008-04-01,SSI,1,2008,385.0,-0.335,0.602,-262.0,123.0,0.0,123.0,-0.761,0.037,0.0,128.0,114.0,114.0,-0.754,0.068,,,,,,127.0,2008-04-01,2008-01-01
2008-01-01,SSI,4,2007,241.0,,0.409,-121.0,119.0,0.0,119.0,,0.296,0.0,119.0,107.0,107.0,,0.292,,,,,,120.0,2008-01-01,2007-10-01
2007-10-01,SSI,3,2007,171.0,,-0.435,-78.0,92.0,0.0,92.0,,,0.0,92.0,83.0,83.0,,-0.593,,,,,,93.0,2007-10-01,2007-07-01
2007-07-01,SSI,2,2007,302.0,,-0.478,-76.0,226.0,,,,,,226.0,204.0,204.0,,-0.562,,,,,,,2007-07-01,2007-04-01
2007-04-01,SSI,1,2007,579.0,,,-63.0,517.0,0.0,516.0,,,0.0,516.0,465.0,465.0,,,,,,,,517.0,2007-04-01,2007-01-01
