ticker,stock,issuer,cw_issuer,type,exercise_type,exercise_method,term,issue_date,listing_date,first_trade_date,last_trade_date,maturity_date,conversion_ratio,adjusted_conversion_ratio,issue_price,exercise_price,adjusted_exercise_price,listed_volume,circulating_volume,listing_change
CHPG2110,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),Công ty TNHH Chứng khoán ACB (ACBS),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2021-04-08,2021-08-20,2021-08-24,2021-02-12,2021-06-12,5 : 1,,2400,44000,,10000000,10000000,-62.24
CHPG2111,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán SSI (SSI),Mua,Châu Âu,Thanh Toán Tiền,5 tháng,2021-06-08,2021-08-25,2021-08-27,2022-04-01,2022-06-01,5 : 1,,1700,48000,,37500000,37500000,-98.8
CHPG2112,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán MB (MBS),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2021-08-27,2021-09-15,2021-09-17,2021-12-23,2021-12-27,6 : 1,,1900,48900,,3000000,3000000,-96.52
CHPG2201,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,10 tháng,2021-12-21,2022-07-01,2022-11-01,2022-10-19,2022-10-21,7.5645 : 1,7.5645 : 1,1300,37570,37570,8000000,8000000,-98.82
CHPG2202,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,9 tháng,2021-12-21,2022-07-01,2022-11-01,2022-09-19,2022-09-21,7.5645 : 1,7.5645 : 1,1100,40764,40764,8000000,8000000,-98.6
CHPG2203,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán Thành phố Hồ Chí Minh (HCM),Mua,Châu Âu,Thanh Toán Tiền,9 tháng,2021-12-20,2022-10-01,2022-12-01,2022-09-16,2022-09-20,3.0258 : 1,3.0258 : 1,2200,38957,38957,20000000,20000000,-99.62
CHPG2204,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán MB (MBS),Mua,Châu Âu,Thanh Toán Tiền,4.5 tháng,2022-09-02,2022-02-25,2022-01-03,2022-06-22,2022-06-24,3.7823 : 1,3.7823 : 1,1900,33662,33662,6000000,6000000,-99.62
CHPG2206,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,5 tháng,2022-03-15,2022-05-04,2022-07-04,2022-11-08,2022-08-15,7.5645 : 1,7.5645 : 1,1000,36981,36981,5000000,5000000,-98.54
CHPG2207,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán Vietcap (VCI),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2022-03-24,2022-04-26,2022-04-28,2022-09-22,2022-09-26,2.2694 : 1,2.2694 : 1,2200,38957,38957,3000000,3000000,-99.6
CHPG2208,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),Công ty TNHH Chứng khoán ACB (ACBS),Mua,Châu Âu,Thanh Toán Tiền,6 tháng,2022-08-04,2022-05-05,2022-09-05,2022-05-10,2022-07-10,3.7823 : 1,3.7823 : 1,2500,30258,30258,10000000,10000000,-99.64
CHPG2209,,CTCP Tập đoàn Hòa Phát (HOSE: HPG),CTCP Chứng khoán KIS Việt Nam (KIS),Mua,Châu Âu,Thanh Toán Tiền,4 tháng,2022-04-21,2022-12-05,2022-05-16,2022-08-18,2022-08-22,6.0516 : 1,6.0516 : 1,1000,34460,34460,4000000,4000000,-99.04
